City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Belleville,CA,44.1788,-77.3705,67.51,84,75,2.3,broken clouds
303,Muisne,EC,0.6,-80.0333,75.92,87,100,9.69,overcast clouds
304,Gobindpur,IN,22.6333,86.0667,81.88,85,93,8.43,light rain
305,Awjilah,LY,29.1081,21.2869,89.15,22,0,11.25,clear sky
306,Proletarskiy,RU,50.7914,35.7731,68.09,61,78,3.76,broken clouds
307,Zambezi,ZM,-13.5432,23.1047,81.12,15,87,4.61,overcast clouds
308,Thompson,CA,55.7435,-97.8558,46.56,93,90,2.3,overcast clouds
309,Gayny,RU,60.3071,54.3241,76.08,54,96,9.84,overcast clouds
310,Kant,IN,27.8,79.8,91.42,48,80,15.77,broken clouds
311,Itaberaba,BR,-12.5275,-40.3069,75.79,57,87,6.96,overcast clouds
312,Kalmunai,LK,7.4167,81.8167,87.49,56,88,6.64,overcast clouds
313,Grindavik,IS,63.8424,-22.4338,46.56,61,20,20.71,few clouds
314,Diffa,NE,13.3154,12.6113,105.12,19,2,5.77,clear sky
315,Yugorsk,RU,61.3133,63.3319,78.49,37,97,7.58,overcast clouds
316,Parana,AR,-31.732,-60.5238,55.54,90,0,3.33,clear sky
317,Maku,IR,39.2911,44.4521,86.02,14,0,8.25,clear sky
318,Kochi,IN,9.9399,76.2602,78.78,79,100,14.14,overcast clouds
319,Santa Cruz,BO,-17.8,-63.1667,60.85,88,1,8.05,clear sky
320,Killybegs,IE,54.6333,-8.45,56.44,70,100,17.78,overcast clouds
321,Chadiza,ZM,-14.0678,32.4392,75.33,28,27,7.29,scattered clouds
322,Mangan,IN,27.5167,88.5333,79.93,95,96,2.17,overcast clouds
323,Dolores,AR,-36.3132,-57.6792,50.76,87,30,9.35,scattered clouds
324,Cidreira,BR,-30.1811,-50.2056,59.36,69,0,6.24,clear sky
325,Hofn,IS,64.2539,-15.2082,42.82,52,90,16.11,overcast clouds
326,Natal,BR,-5.795,-35.2094,79.02,69,40,8.05,scattered clouds
327,Gat,IL,31.61,34.7642,83.79,41,0,16.8,clear sky
328,Carnarvon,AU,-24.8667,113.6333,62.67,60,0,9.22,clear sky
329,Farap,TM,39.1704,63.6116,95.0,6,0,20.71,clear sky
330,Nurota,UZ,40.5614,65.6886,89.69,7,0,22.73,clear sky
331,Ville-Marie,CA,47.3335,-79.433,57.2,94,67,6.42,broken clouds
332,Yalutorovsk,RU,56.6536,66.3006,82.38,38,15,8.23,few clouds
333,Yar-Sale,RU,66.8333,70.8333,77.27,31,17,4.79,few clouds
334,Dongobesh,TZ,-4.0667,35.3833,73.49,39,87,1.61,overcast clouds
335,Velyka Pysarivka,UA,50.4259,35.485,76.95,57,24,3.56,few clouds
336,Lokhvytsya,UA,50.3678,33.2602,76.59,59,5,6.69,moderate rain
337,Domoni,KM,-12.2569,44.5319,78.44,66,60,11.14,broken clouds
338,Cubuk,TR,40.2386,33.0322,71.06,53,75,2.3,broken clouds
